id,authors,original_title,title,language_code
296,Eric Carle,The Very Hungry Caterpillar,The Very Hungry Caterpillar Board Book,eng
297,Kurt Vonnegut Jr.,Cat's Cradle,Cat's Cradle,eng
298,"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine,The Time Machine,eng
299,"Todd Burpo, Lynn Vincent",,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,eng
300,John Boyne,The Boy in the Striped Pyjamas,The Boy in the Striped Pajamas,eng
301,Joseph Conrad,Heart of Darkness,Heart of Darkness,eng
302,Nicholas Sparks,Safe Haven,Safe Haven,eng
303,Rhonda Byrne,The Secret,"The Secret (The Secret, #1)",eng
304,Wally Lamb,I Know This Much Is True ,I Know This Much Is True,eng
305,Stephen King,Pet Sematary,Pet Sematary,eng
306,Wally Lamb,She's Come Undone,She's Come Undone,en-US
307,Patrick Rothfuss,The Wise Man's Fear,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",eng
308,Sophie Kinsella,Can You Keep a Secret?,Can You Keep a Secret?,en-US
309,Cassandra Clare,City of Fallen Angels,"City of Fallen Angels (The Mortal Instruments, #4)",en-US
310,Jennifer Weiner,Good in Bed,"Good in Bed (Cannie Shapiro, #1)",en-US
311,Colleen McCullough,The Thorn Birds,The Thorn Birds,eng
312,"Neil Gaiman, Dave McKean",The Graveyard Book,The Graveyard Book,en-US
313,M.L. Stedman,The Light Between Oceans,The Light Between Oceans,eng
314,"Cornelia Funke, Anthea Bell",Tintenherz,"Inkheart (Inkworld, #1)",en-US
315,"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?,Who Moved My Cheese?,eng
316,Bill Bryson,A Walk in the Woods,A Walk in the Woods,eng
317,Maya Angelou,I Know Why the Caged Bird Sings,I Know Why the Caged Bird Sings,en-US
318,Christina Baker Kline,Orphan Train,Orphan Train,eng
319,Cassandra Clare,City of Lost Souls,"City of Lost Souls (The Mortal Instruments, #5)",eng
320,Maria Semple,"Where'd You Go, Bernadette","Where'd You Go, Bernadette",eng
321,Wilson Rawls,Where the Red Fern Grows,Where the Red Fern Grows,
322,Neil Gaiman,Neverwhere,Neverwhere,eng
323,"Milan Kundera, Michael Henry Heim",Nesnesitelná lehkost bytí,The Unbearable Lightness of Being,eng
324,Rainbow Rowell,,Fangirl,eng
325,John Irving,A Prayer for Owen Meany,A Prayer for Owen Meany,eng
326,Janet Fitch,White Oleander,White Oleander,eng
